Date,CUST,SKU,SALES,Forecast_Type
1/4/2014,7577,12GL,100,ACTUAL
1/5/2014,7577,12GL,4,ACTUAL
1/6/2014,7577,12GL,0,ACTUAL
1/7/2014,7577,12GL,0,ACTUAL
1/8/2014,7577,12GL,13,ACTUAL
1/9/2014,7577,12GL,0,ACTUAL
1/10/2014,7577,12GL,0,ACTUAL
1/11/2014,7577,12GL,4,ACTUAL
1/12/2014,7577,12GL,6,ACTUAL
1/13/2014,7577,12GL,0,ACTUAL
1/14/2014,7577,12GL,10,ACTUAL
1/15/2014,7577,12GL,0,ACTUAL
1/16/2014,7577,12GL,5,ACTUAL
1/17/2014,7577,12GL,0,ACTUAL
1/18/2014,7577,12GL,5,ACTUAL
1/19/2014,7577,12GL,0,ACTUAL
1/20/2014,7577,12GL,7,ACTUAL
1/21/2014,7577,12GL,0,ACTUAL
1/22/2014,7577,12GL,9,ACTUAL
1/23/2014,7577,12GL,0,ACTUAL
1/24/2014,7577,12GL,2,ACTUAL
1/25/2014,7577,12GL,0,ACTUAL
1/26/2014,7577,12GL,10,ACTUAL
1/27/2014,7577,12GL,0,ACTUAL
1/28/2014,7577,12GL,10,ACTUAL
1/29/2014,7577,12GL,0,ACTUAL
1/30/2014,7577,12GL,8,ACTUAL
1/31/2014,7577,12GL,0,ACTUAL
2/1/2014,7577,12GL,4,ACTUAL
2/2/2014,7577,12GL,15,ACTUAL
2/3/2014,7577,12GL,9,ACTUAL
2/4/2014,7577,12GL,0,ACTUAL
2/5/2014,7577,12GL,0,ACTUAL
2/6/2014,7577,12GL,5,ACTUAL
2/7/2014,7577,12GL,5,ACTUAL
2/8/2014,7577,12GL,0,ACTUAL
2/9/2014,7577,12GL,3,ACTUAL
2/10/2014,7577,12GL,13,ACTUAL
2/11/2014,7577,12GL,0,ACTUAL
2/12/2014,7577,12GL,0,ACTUAL
2/13/2014,7577,12GL,0,ACTUAL
2/14/2014,7577,12GL,7,ACTUAL
2/15/2014,7577,12GL,0,ACTUAL
2/16/2014,7577,12GL,6,ACTUAL
2/17/2014,7577,12GL,0,ACTUAL
2/18/2014,7577,12GL,4,ACTUAL
2/19/2014,7577,12GL,0,ACTUAL
2/20/2014,7577,12GL,5,ACTUAL
2/21/2014,7577,12GL,0,ACTUAL
2/22/2014,7577,12GL,6,ACTUAL
2/23/2014,7577,12GL,0,ACTUAL
2/24/2014,7577,12GL,6,ACTUAL
2/25/2014,7577,12GL,0,ACTUAL
2/26/2014,7577,12GL,4,ACTUAL
2/27/2014,7577,12GL,0,ACTUAL
2/28/2014,7577,12GL,6,ACTUAL
3/1/2014,7577,12GL,0,ACTUAL
3/2/2014,7577,12GL,0,ACTUAL
3/3/2014,7577,12GL,0,ACTUAL
3/4/2014,7577,12GL,6,ACTUAL
3/5/2014,7577,12GL,4,ACTUAL
3/6/2014,7577,12GL,0,ACTUAL
3/7/2014,7577,12GL,0,ACTUAL
3/8/2014,7577,12GL,0,ACTUAL
3/9/2014,7577,12GL,0,ACTUAL
3/10/2014,7577,12GL,0,ACTUAL
3/11/2014,7577,12GL,5,ACTUAL
3/12/2014,7577,12GL,4,ACTUAL
3/13/2014,7577,12GL,0,ACTUAL
3/14/2014,7577,12GL,9,ACTUAL
3/15/2014,7577,12GL,0,ACTUAL
3/16/2014,7577,12GL,5,ACTUAL
3/17/2014,7577,12GL,0,ACTUAL
3/18/2014,7577,12GL,7,ACTUAL
3/19/2014,7577,12GL,0,ACTUAL
3/20/2014,7577,12GL,3,ACTUAL
3/21/2014,7577,12GL,0,ACTUAL
