"Date","CUST","SKU","SALES","Forecast_Type"
2014-01-04,"7577","12GL",2,"ACTUAL"
2014-01-05,"7577","12GL",4,"ACTUAL"
2014-01-06,"7577","12GL",0,"ACTUAL"
2014-01-07,"7577","12GL",0,"ACTUAL"
2014-01-08,"7577","12GL",13,"ACTUAL"
2014-01-09,"7577","12GL",0,"ACTUAL"
2014-01-10,"7577","12GL",0,"ACTUAL"
2014-01-11,"7577","12GL",4,"ACTUAL"
2014-01-12,"7577","12GL",6,"ACTUAL"
2014-01-13,"7577","12GL",0,"ACTUAL"
2014-01-14,"7577","12GL",10,"ACTUAL"
2014-01-15,"7577","12GL",0,"ACTUAL"
2014-01-16,"7577","12GL",5,"ACTUAL"
2014-01-17,"7577","12GL",0,"ACTUAL"
2014-01-18,"7577","12GL",5,"ACTUAL"
2014-01-19,"7577","12GL",0,"ACTUAL"
2014-01-20,"7577","12GL",7,"ACTUAL"
2014-01-21,"7577","12GL",0,"ACTUAL"
2014-01-22,"7577","12GL",9,"ACTUAL"
2014-01-23,"7577","12GL",0,"ACTUAL"
2014-01-24,"7577","12GL",2,"ACTUAL"
2014-01-25,"7577","12GL",0,"ACTUAL"
2014-01-26,"7577","12GL",10,"ACTUAL"
2014-01-27,"7577","12GL",0,"ACTUAL"
2014-01-28,"7577","12GL",10,"ACTUAL"
2014-01-29,"7577","12GL",0,"ACTUAL"
2014-01-30,"7577","12GL",8,"ACTUAL"
2014-01-31,"7577","12GL",0,"ACTUAL"
2014-02-01,"7577","12GL",4,"ACTUAL"
2014-02-02,"7577","12GL",15,"ACTUAL"
2014-02-03,"7577","12GL",9,"ACTUAL"
2014-02-04,"7577","12GL",0,"ACTUAL"
2014-02-05,"7577","12GL",0,"ACTUAL"
2014-02-06,"7577","12GL",5,"ACTUAL"
2014-02-07,"7577","12GL",5,"ACTUAL"
2014-02-08,"7577","12GL",0,"ACTUAL"
2014-02-09,"7577","12GL",3,"ACTUAL"
2014-02-10,"7577","12GL",13,"ACTUAL"
2014-02-11,"7577","12GL",0,"ACTUAL"
2014-02-12,"7577","12GL",0,"ACTUAL"
2014-02-13,"7577","12GL",0,"ACTUAL"
2014-02-14,"7577","12GL",7,"ACTUAL"
2014-02-15,"7577","12GL",0,"ACTUAL"
2014-02-16,"7577","12GL",6,"ACTUAL"
2014-02-17,"7577","12GL",0,"ACTUAL"
2014-02-18,"7577","12GL",4,"ACTUAL"
2014-02-19,"7577","12GL",0,"ACTUAL"
2014-02-20,"7577","12GL",5,"ACTUAL"
2014-02-21,"7577","12GL",0,"ACTUAL"
2014-02-22,"7577","12GL",6,"ACTUAL"
2014-02-23,"7577","12GL",0,"ACTUAL"
2014-02-24,"7577","12GL",6,"ACTUAL"
2014-02-25,"7577","12GL",0,"ACTUAL"
2014-02-26,"7577","12GL",4,"ACTUAL"
2014-02-27,"7577","12GL",0,"ACTUAL"
2014-02-28,"7577","12GL",6,"ACTUAL"
2014-03-01,"7577","12GL",0,"ACTUAL"
2014-03-02,"7577","12GL",0,"ACTUAL"
2014-03-03,"7577","12GL",0,"ACTUAL"
2014-03-04,"7577","12GL",6,"ACTUAL"
2014-03-05,"7577","12GL",4,"ACTUAL"
2014-03-06,"7577","12GL",0,"ACTUAL"
2014-03-07,"7577","12GL",0,"ACTUAL"
2014-03-08,"7577","12GL",0,"ACTUAL"
2014-03-09,"7577","12GL",0,"ACTUAL"
2014-03-10,"7577","12GL",0,"ACTUAL"
2014-03-11,"7577","12GL",5,"ACTUAL"
2014-03-12,"7577","12GL",4,"ACTUAL"
2014-03-13,"7577","12GL",0,"ACTUAL"
2014-03-14,"7577","12GL",9,"ACTUAL"
2014-03-15,"7577","12GL",0,"ACTUAL"
2014-03-16,"7577","12GL",5,"ACTUAL"
2014-03-17,"7577","12GL",0,"ACTUAL"
2014-03-18,"7577","12GL",7,"ACTUAL"
2014-03-19,"7577","12GL",0,"ACTUAL"
2014-03-20,"7577","12GL",3,"ACTUAL"
2014-03-21,"7577","12GL",0,"ACTUAL"
2014-03-22,"7577","12GL",9,"ACTUAL"
2014-03-23,"7577","12GL",0,"ACTUAL"
2014-03-24,"7577","12GL",6,"ACTUAL"
2014-03-25,"7577","12GL",0,"ACTUAL"
2014-03-26,"7577","12GL",3,"ACTUAL"
2014-03-27,"7577","12GL",0,"ACTUAL"
2014-03-28,"7577","12GL",7,"ACTUAL"
2014-03-29,"7577","12GL",0,"ACTUAL"
2014-03-30,"7577","12GL",7,"ACTUAL"
2014-03-31,"7577","12GL",0,"ACTUAL"
2014-04-01,"7577","12GL",5,"ACTUAL"
2014-04-02,"7577","12GL",7,"ACTUAL"
2014-04-03,"7577","12GL",7,"ACTUAL"
2014-04-04,"7577","12GL",0,"ACTUAL"
2014-04-05,"7577","12GL",0,"ACTUAL"
2014-04-06,"7577","12GL",5,"ACTUAL"
2014-04-07,"7577","12GL",7,"ACTUAL"
2014-04-08,"7577","12GL",0,"ACTUAL"
2014-04-09,"7577","12GL",11,"ACTUAL"
2014-04-10,"7577","12GL",0,"ACTUAL"
2014-04-11,"7577","12GL",0,"ACTUAL"
2014-04-12,"7577","12GL",0,"ACTUAL"
2014-04-13,"7577","12GL",10,"ACTUAL"
2014-04-14,"7577","12GL",0,"ACTUAL"
2014-04-15,"7577","12GL",8,"ACTUAL"
2014-04-16,"7577","12GL",0,"ACTUAL"
2014-04-17,"7577","12GL",3,"ACTUAL"
2014-04-18,"7577","12GL",0,"ACTUAL"
2014-04-19,"7577","12GL",7,"ACTUAL"
2014-04-20,"7577","12GL",0,"ACTUAL"
2014-04-21,"7577","12GL",4,"ACTUAL"
2014-04-22,"7577","12GL",0,"ACTUAL"
2014-04-23,"7577","12GL",3,"ACTUAL"
2014-04-24,"7577","12GL",0,"ACTUAL"
2014-04-25,"7577","12GL",5,"ACTUAL"
2014-04-26,"7577","12GL",0,"ACTUAL"
2014-04-27,"7577","12GL",7,"ACTUAL"
2014-04-28,"7577","12GL",0,"ACTUAL"
2014-04-29,"7577","12GL",7,"ACTUAL"
2014-04-30,"7577","12GL",0,"ACTUAL"
2014-05-01,"7577","12GL",0,"ACTUAL"
2014-05-02,"7577","12GL",0,"ACTUAL"
2014-05-03,"7577","12GL",0,"ACTUAL"
